system,scale,bloom_filter,threads,cache_size,trial,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q4.1,Q4.2,Q4.3
duckdb,1,,2.0,500 MB,2,0.0663626,0.0618549,0.0639289,0.0560648,0.0477926,0.040364,0.0718538,0.038192,0.0327187,0.0336748,0.10667,0.113956,0.0575984
duckdb,1,,2.0,500 MB,3,0.0647284,0.0603764,0.0631875,0.0585944,0.048389,0.0395309,0.0675941,0.0378699,0.0330526,0.0329944,0.107136,0.113729,0.0559357
duckdb,1,,2.0,1 GB,1,0.0654648,0.0606526,0.0628358,0.0584357,0.0472716,0.0405005,0.0686716,0.0418099,0.0337086,0.033555,0.106328,0.112991,0.0574522
duckdb,1,,2.0,1 GB,2,0.0644139,0.0610019,0.0616822,0.0597781,0.0478026,0.0396146,0.0688442,0.0377617,0.0390527,0.0396358,0.10848,0.105855,0.0581964
duckdb,1,,2.0,1 GB,3,0.0644701,0.0604199,0.0615156,0.0634143,0.0477582,0.0463135,0.0678854,0.0368692,0.0341508,0.0324919,0.107826,0.114496,0.0555439
duckdb,1,,2.0,2 GB,1,0.0648953,0.0595361,0.0586927,0.0628672,0.0475126,0.04515,0.0680231,0.0380837,0.0393661,0.0386281,0.106926,0.113626,0.0574846
duckdb,1,,2.0,2 GB,2,0.0919016,0.0647691,0.0589413,0.0559531,0.0482436,0.0398512,0.068131,0.0371632,0.0394759,0.0381287,0.105366,0.112933,0.05587
duckdb,1,,2.0,2 GB,3,0.0652472,0.060729,0.0623407,0.0612291,0.0474657,0.0396604,0.0705769,0.0400591,0.040393,0.0332522,0.100189,0.113759,0.0570368
duckdb,1,,2.0,5 GB,1,0.0658925,0.0614,0.063728,0.0569324,0.0472744,0.0470839,0.0693434,0.0373332,0.0334142,0.0333683,0.106116,0.114678,0.0618884
duckdb,1,,2.0,5 GB,2,0.06573,0.0610688,0.0641718,0.0581431,0.0563518,0.0409669,0.0694437,0.0374703,0.034983,0.0326907,0.105785,0.112162,0.0565559
duckdb,1,,2.0,5 GB,3,0.0655634,0.0603167,0.0633144,0.0573697,0.047702,0.0390843,0.0747877,0.0383049,0.0401813,0.0382456,0.106219,0.113999,0.0578699
duckdb,1,,4.0,100 MB,1,0.04591,0.0345501,0.0318356,0.0343403,0.0328221,0.0268539,0.0416234,0.0252014,0.0222256,0.0222268,0.0938297,0.0740804,0.0388393
duckdb,1,,4.0,100 MB,2,0.0461044,0.035206,0.0311222,0.0375715,0.0359314,0.0304098,0.0426639,0.0257392,0.0323894,0.0238835,0.0761124,0.0779434,0.0528098
duckdb,1,,4.0,100 MB,3,0.0478069,0.0353023,0.0322413,0.0350093,0.0421389,0.0424987,0.0421665,0.0259805,0.0241264,0.0227283,0.0825602,0.0823726,0.0393649
duckdb,1,,4.0,200 MB,1,0.0463595,0.035485,0.032634,0.0340669,0.038861,0.0392935,0.041661,0.0261954,0.0228843,0.0228226,0.0762797,0.093979,0.0379317
duckdb,1,,4.0,200 MB,2,0.0473129,0.0359559,0.0324044,0.0362557,0.0387855,0.029928,0.0418113,0.0275275,0.0232849,0.0214449,0.07771,0.0861675,0.0412793
duckdb,1,,4.0,200 MB,3,0.0463736,0.0352684,0.032575,0.0337606,0.0381574,0.0413125,0.0443841,0.0281649,0.0225188,0.0226819,0.0829006,0.0811522,0.0479064
duckdb,1,,4.0,500 MB,1,0.0443639,0.0326657,0.0294758,0.0321147,0.0304543,0.0416433,0.0393624,0.0324808,0.0196688,0.0189646,0.0646094,0.0748301,0.0467446
duckdb,1,,4.0,500 MB,2,0.0444452,0.0326113,0.0295047,0.0320169,0.0307562,0.0268371,0.0420087,0.0216311,0.0190169,0.0215393,0.0654452,0.0750348,0.0333422
duckdb,1,,4.0,500 MB,3,0.0417961,0.0328118,0.0295284,0.0324202,0.0351664,0.029606,0.0487189,0.0216533,0.029292,0.019645,0.0719616,0.079427,0.0452585
duckdb,1,,4.0,1 GB,1,0.0430474,0.0329969,0.029619,0.032654,0.0343602,0.0427257,0.039263,0.0223235,0.0192615,0.0200326,0.0641834,0.0796178,0.0366595
duckdb,1,,4.0,1 GB,2,0.0448498,0.0329844,0.0296867,0.0343103,0.0332633,0.0263366,0.0384601,0.022399,0.0188687,0.0191377,0.0652042,0.07596,0.0521418
duckdb,1,,4.0,1 GB,3,0.0445993,0.0328401,0.0294477,0.0326827,0.0321004,0.0293666,0.0387671,0.0218056,0.0201719,0.0208339,0.0690228,0.0789693,0.0397181
duckdb,1,,4.0,2 GB,1,0.0424834,0.0330232,0.0295721,0.0326326,0.0310279,0.0253179,0.0389966,0.022432,0.0191816,0.0186778,0.0658073,0.0718673,0.0327667
duckdb,1,,4.0,2 GB,2,0.0428508,0.032769,0.0310227,0.0383921,0.0328273,0.0236317,0.0387423,0.0219535,0.0277694,0.019225,0.0686694,0.0752575,0.0420401
duckdb,1,,4.0,2 GB,3,0.0430704,0.0332365,0.0297679,0.0323883,0.0332287,0.0409263,0.0391088,0.0327308,0.0197123,0.0188365,0.0650949,0.0733604,0.0382247
duckdb,1,,4.0,5 GB,1,0.0446971,0.032623,0.0294678,0.0320431,0.031992,0.0292185,0.0387994,0.0221923,0.0196705,0.0192929,0.0653155,0.0704814,0.0329606
duckdb,1,,4.0,5 GB,2,0.0448016,0.0330319,0.029514,0.0343497,0.0339932,0.0285953,0.0397124,0.0230391,0.0190008,0.0186412,0.0647309,0.0844148,0.03344
duckdb,1,,4.0,5 GB,3,0.0453494,0.0326258,0.0295548,0.0327376,0.0354278,0.0297422,0.0383713,0.0225838,0.0204358,0.0202868,0.0659481,0.0744137,0.0336357
duckdb,2,,1.0,100 MB,1,0.249108,0.244885,0.226395,0.234031,0.206062,0.182066,0.279168,0.169019,0.146688,0.146889,0.421001,0.428618,0.254152
duckdb,2,,1.0,100 MB,2,0.245518,0.243151,0.225995,0.228824,0.204969,0.182532,0.278208,0.168309,0.146223,0.146282,0.418918,0.425274,0.251537
duckdb,2,,1.0,100 MB,3,0.247074,0.244292,0.227278,0.230999,0.207134,0.181996,0.278261,0.168692,0.14658,0.146867,0.419449,0.42684,0.253906
duckdb,2,,1.0,200 MB,1,0.242218,0.23279,0.207102,0.227224,0.182104,0.143486,0.253434,0.136782,0.119311,0.117909,0.390881,0.400677,0.227832
duckdb,2,,1.0,200 MB,2,0.237034,0.231601,0.2117,0.228252,0.181797,0.142458,0.247882,0.136622,0.118886,0.122613,0.383356,0.405519,0.222371
duckdb,2,,1.0,200 MB,3,0.241224,0.232268,0.206793,0.226403,0.181878,0.142559,0.252062,0.138409,0.118834,0.117478,0.388818,0.397915,0.225634
duckdb,2,,1.0,500 MB,1,0.241899,0.22532,0.205458,0.20961,0.161789,0.143032,0.248553,0.135986,0.1187,0.118202,0.370044,0.364175,0.198287
duckdb,2,,1.0,500 MB,2,0.23958,0.225341,0.229755,0.203712,0.167935,0.143186,0.2448,0.136617,0.118633,0.122747,0.36473,0.37094,0.194816
duckdb,2,,1.0,500 MB,3,0.238844,0.226909,0.230105,0.202915,0.167835,0.143272,0.244528,0.136603,0.119467,0.123597,0.364061,0.369757,0.194514
duckdb,2,,1.0,1 GB,1,0.208655,0.225934,0.202709,0.193839,0.163521,0.142652,0.246286,0.135916,0.118718,0.118454,0.365683,0.364309,0.197598
duckdb,2,,1.0,1 GB,2,0.210542,0.231138,0.200576,0.187491,0.167734,0.14179,0.241568,0.135738,0.118364,0.122403,0.360994,0.368787,0.194106
duckdb,2,,1.0,1 GB,3,0.208572,0.225683,0.202849,0.193895,0.162951,0.142103,0.245671,0.134857,0.118314,0.118029,0.365855,0.363885,0.197056
duckdb,2,,1.0,2 GB,1,0.208365,0.227138,0.200585,0.194088,0.1634,0.142069,0.245285,0.136161,0.118449,0.118714,0.36754,0.364967,0.199066
duckdb,2,,1.0,2 GB,2,0.208928,0.226457,0.203067,0.19458,0.163943,0.142777,0.246439,0.136232,0.118684,0.119359,0.36631,0.363083,0.198784
duckdb,2,,1.0,2 GB,3,0.21077,0.231884,0.20145,0.196264,0.174029,0.149082,0.248259,0.135959,0.118764,0.122616,0.378058,0.376972,0.195784
duckdb,2,,1.0,5 GB,1,0.208352,0.226073,0.202467,0.192859,0.161933,0.141995,0.24589,0.134968,0.118298,0.117741,0.365213,0.362665,0.196848
duckdb,2,,1.0,5 GB,2,0.210174,0.225321,0.207163,0.187817,0.166611,0.142517,0.240733,0.136735,0.118216,0.116546,0.364318,0.367147,0.192143
duckdb,2,,1.0,5 GB,3,0.208979,0.226091,0.203019,0.194216,0.162186,0.14257,0.245495,0.135962,0.122234,0.120245,0.367671,0.364304,0.197686
duckdb,2,,2.0,100 MB,1,0.14419,0.135516,0.119676,0.128415,0.1229,0.102975,0.151132,0.0939067,0.0878829,0.0790302,0.265395,0.248674,0.134386
duckdb,2,,2.0,100 MB,2,0.160773,0.139274,0.121393,0.138488,0.122585,0.103745,0.158575,0.0979591,0.0806641,0.0801554,0.23876,0.251004,0.135859
duckdb,2,,2.0,100 MB,3,0.139937,0.136328,0.118091,0.134191,0.12337,0.109987,0.15975,0.101178,0.100565,0.108744,0.237082,0.251804,0.135451
duckdb,2,,2.0,200 MB,1,0.137843,0.130162,0.110347,0.130577,0.109732,0.083398,0.146533,0.0761636,0.0654202,0.0649067,0.24104,0.234053,0.128798
duckdb,2,,2.0,200 MB,2,0.138722,0.132853,0.116467,0.136195,0.108932,0.08049,0.150671,0.0984359,0.0675361,0.0816554,0.234659,0.243114,0.12869
duckdb,2,,2.0,200 MB,3,0.140177,0.130226,0.107504,0.129474,0.0998766,0.0801729,0.137973,0.082983,0.0701223,0.0778772,0.219639,0.234303,0.123682
duckdb,2,,2.0,500 MB,1,0.136952,0.129372,0.106944,0.140403,0.0976155,0.0791988,0.147853,0.0814685,0.0648607,0.063544,0.235127,0.218676,0.112902
duckdb,2,,2.0,500 MB,2,0.130564,0.128938,0.107542,0.123217,0.0967877,0.0769788,0.136837,0.0804068,0.0644839,0.0639552,0.210006,0.218042,0.11191
duckdb,2,,2.0,500 MB,3,0.13496,0.128022,0.111189,0.136396,0.0965508,0.0776835,0.154704,0.0792877,0.073074,0.0655309,0.247163,0.21934,0.113283
duckdb,2,,2.0,1 GB,1,0.118486,0.128218,0.108275,0.105301,0.0984403,0.0776673,0.133815,0.0736065,0.064466,0.0645473,0.205544,0.226776,0.127415
duckdb,2,,2.0,1 GB,2,0.117661,0.127176,0.10897,0.113431,0.0914242,0.0801011,0.133603,0.0811078,0.0663342,0.0649933,0.204449,0.216116,0.111502
duckdb,2,,2.0,1 GB,3,0.121105,0.127876,0.113857,0.128699,0.099572,0.0828647,0.147502,0.0745121,0.065122,0.0708403,0.234375,0.228566,0.113056
duckdb,2,,2.0,2 GB,1,0.122007,0.127605,0.112372,0.135421,0.0934734,0.0778949,0.154884,0.0800394,0.0699204,0.0698113,0.228629,0.231298,0.11327
duckdb,2,,2.0,2 GB,2,0.116878,0.12632,0.107696,0.127865,0.0984183,0.0797951,0.153609,0.0844443,0.0696113,0.0675221,0.234032,0.24037,0.11825
duckdb,2,,2.0,2 GB,3,0.118938,0.128394,0.109459,0.106944,0.0914814,0.0807175,0.132941,0.0814685,0.0636119,0.0635716,0.211618,0.213807,0.110708
duckdb,2,,2.0,5 GB,1,0.11878,0.127516,0.113082,0.10588,0.091375,0.0773381,0.133165,0.0820576,0.0706665,0.0641115,0.211168,0.214823,0.110573
duckdb,2,,2.0,5 GB,2,0.119834,0.126413,0.108064,0.131421,0.0947946,0.08422,0.154135,0.0846877,0.0644263,0.0709358,0.25446,0.220264,0.114756
duckdb,2,,2.0,5 GB,3,0.120867,0.126933,0.107086,0.127973,0.0936597,0.0788491,0.153571,0.0744124,0.0642926,0.0703382,0.226606,0.227826,0.117186
duckdb,2,,4.0,200 MB,1,0.080018,0.0740778,0.0646651,0.0753193,0.0780478,0.051282,0.0887573,0.0485195,0.0443252,0.0429866,0.163734,0.156705,0.0711565
duckdb,2,,4.0,200 MB,2,0.0792721,0.068544,0.068037,0.0820861,0.061865,0.0590305,0.090509,0.0501717,0.0439408,0.0429911,0.130413,0.15221,0.0730691
duckdb,2,,4.0,200 MB,3,0.0795059,0.0686022,0.0712744,0.0716753,0.0594999,0.0540443,0.0861713,0.0501957,0.0437281,0.0507469,0.137173,0.153996,0.078841
duckdb,2,,4.0,500 MB,1,0.076539,0.0765052,0.0673012,0.0681322,0.0625191,0.0503364,0.0909466,0.0470047,0.0397334,0.0354422,0.140691,0.137295,0.10609
duckdb,2,,4.0,500 MB,2,0.0782139,0.0697175,0.0684441,0.0699648,0.0590935,0.050091,0.0868565,0.0455594,0.043557,0.0519691,0.126885,0.138792,0.0963447
duckdb,2,,4.0,500 MB,3,0.0760893,0.0708737,0.0695202,0.0703066,0.0587885,0.0497738,0.0904214,0.0448567,0.0372314,0.0385225,0.132196,0.13058,0.111413
duckdb,2,,4.0,1 GB,1,0.0722791,0.0629599,0.0569284,0.0607826,0.0690374,0.0425726,0.0727764,0.050762,0.0480068,0.0396813,0.106264,0.112098,0.0597182
duckdb,2,,4.0,1 GB,2,0.072413,0.0640099,0.0620843,0.0631115,0.0504993,0.0421866,0.100608,0.0451711,0.0428936,0.0390799,0.14525,0.141745,0.0721641
duckdb,2,,4.0,1 GB,3,0.0737465,0.0636347,0.0616327,0.0631359,0.0503454,0.0418339,0.0855962,0.0462871,0.0352674,0.049134,0.129936,0.129081,0.0699999
duckdb,2,,4.0,2 GB,1,0.0742652,0.0634723,0.0564043,0.0625657,0.0503699,0.0428113,0.0833961,0.0479229,0.0423779,0.0448157,0.129812,0.133755,0.0819392
duckdb,2,,4.0,2 GB,2,0.0747034,0.0646153,0.0621399,0.0642538,0.0495242,0.0422342,0.0824258,0.0721818,0.0355983,0.0478473,0.14084,0.137574,0.063822
duckdb,2,,4.0,2 GB,3,0.0727352,0.0641947,0.0625838,0.0648232,0.0597527,0.0530832,0.0825541,0.042933,0.0358921,0.0400615,0.134947,0.126892,0.0746266
duckdb,2,,4.0,5 GB,1,0.072676,0.0646725,0.0625924,0.0628371,0.050828,0.0444049,0.0861881,0.0469312,0.0461801,0.0556285,0.130952,0.122731,0.0704892
duckdb,2,,4.0,5 GB,2,0.07322,0.0631514,0.0620202,0.0741928,0.0503468,0.0434529,0.078232,0.0569415,0.0401948,0.0348729,0.128542,0.123952,0.0729449
duckdb,2,,4.0,5 GB,3,0.0719664,0.0637187,0.0616432,0.0632372,0.0510663,0.0428626,0.0911433,0.0481915,0.0517649,0.0502067,0.135626,0.14413,0.081048
duckdb,5,,1.0,100 MB,1,0.621407,0.662511,0.594552,0.612875,0.536276,0.497964,0.727744,0.456533,0.414057,0.405901,1.06153,1.07144,0.650973
duckdb,5,,1.0,100 MB,2,0.617843,0.664022,0.594582,0.600107,0.53522,0.495957,0.728023,0.452239,0.419839,0.410729,1.05097,1.0667,0.648507
duckdb,5,,1.0,100 MB,3,0.618628,0.667065,0.598903,0.60359,0.533908,0.50534,0.727398,0.456043,0.41607,0.406779,1.06367,1.07376,0.653161
duckdb,5,,1.0,200 MB,1,0.618579,0.647318,0.565936,0.603676,0.525945,0.485784,0.717408,0.435674,0.391304,0.382669,1.05438,1.0702,0.650242
duckdb,5,,1.0,200 MB,2,0.61499,0.646054,0.563868,0.593961,0.515946,0.486057,0.713656,0.43453,0.388421,0.379502,1.04443,1.06129,0.642446
duckdb,5,,1.0,200 MB,3,0.621731,0.644804,0.567343,0.608454,0.532081,0.490033,0.727108,0.433877,0.394882,0.38529,1.05935,1.07421,0.655226
duckdb,5,,1.0,500 MB,1,0.615937,0.605043,0.53112,0.596146,0.449721,0.370326,0.645126,0.353711,0.311779,0.301862,0.967617,0.992765,0.578134
duckdb,5,,1.0,500 MB,2,0.6136,0.599139,0.529522,0.590038,0.446208,0.368997,0.645722,0.350812,0.309698,0.301963,0.963739,0.986588,0.574205
duckdb,5,,1.0,500 MB,3,0.607921,0.595899,0.527652,0.590126,0.451943,0.366477,0.645184,0.349686,0.304867,0.30727,0.959485,0.992504,0.577499
duckdb,5,,1.0,1 GB,1,0.583119,0.586696,0.534695,0.559363,0.420243,0.364151,0.641526,0.353963,0.308891,0.306939,0.92695,0.906411,0.490448
duckdb,5,,1.0,1 GB,2,0.590522,0.586209,0.533432,0.551884,0.415481,0.371877,0.638982,0.350772,0.310799,0.302083,0.927905,0.904765,0.498143
duckdb,5,,1.0,1 GB,3,0.58178,0.58484,0.529404,0.55123,0.41274,0.362862,0.635503,0.349424,0.305055,0.307775,0.914438,0.904026,0.485345
duckdb,5,,1.0,2 GB,1,0.537231,0.577911,0.516178,0.485582,0.409306,0.36506,0.624561,0.350951,0.304434,0.306093,0.893006,0.900584,0.48927
duckdb,5,,1.0,2 GB,2,0.543259,0.580622,0.516954,0.484784,0.407446,0.365802,0.627025,0.352244,0.304559,0.301547,0.900266,0.901136,0.48943
duckdb,5,,1.0,2 GB,3,0.540998,0.582788,0.516607,0.48718,0.414562,0.365064,0.624799,0.349696,0.304231,0.309457,0.894481,0.907835,0.493044
duckdb,5,,1.0,5 GB,1,0.543204,0.583266,0.529881,0.485593,0.407698,0.368648,0.630235,0.353171,0.306002,0.307339,0.899828,0.907551,0.495435
duckdb,5,,1.0,5 GB,2,0.543091,0.583486,0.519072,0.489688,0.410545,0.366275,0.630269,0.352562,0.304623,0.306724,0.903296,0.912898,0.492023
duckdb,5,,1.0,5 GB,3,0.543308,0.581346,0.512241,0.485164,0.43235,0.362102,0.62852,0.350804,0.311873,0.304432,0.900804,0.914371,0.49746
duckdb,5,,2.0,100 MB,1,0.346011,0.35056,0.328015,0.33024,0.29818,0.285864,0.39449,0.251227,0.227673,0.225715,0.58311,0.59867,0.357216
duckdb,5,,2.0,100 MB,2,0.344485,0.354033,0.328825,0.329428,0.307361,0.287121,0.400201,0.247827,0.228269,0.227968,0.577855,0.593295,0.357118
duckdb,5,,2.0,100 MB,3,0.344271,0.35179,0.331018,0.327479,0.303465,0.282226,0.399913,0.274078,0.224336,0.231958,0.582063,0.589578,0.354369
duckdb,5,,2.0,200 MB,1,0.353868,0.349366,0.312083,0.338768,0.29627,0.269075,0.388083,0.238152,0.233691,0.216111,0.58285,0.593683,0.360149
duckdb,5,,2.0,200 MB,2,0.351907,0.34111,0.297363,0.321915,0.29497,0.268375,0.389634,0.24268,0.249192,0.224094,0.569943,0.587348,0.350063
duckdb,5,,2.0,200 MB,3,0.350081,0.34671,0.300211,0.323718,0.295269,0.268469,0.396238,0.239566,0.213957,0.250406,0.579262,0.588572,0.357993
duckdb,5,,2.0,500 MB,1,0.344846,0.311964,0.310148,0.35221,0.249036,0.199949,0.404293,0.22291,0.168928,0.16991,0.562901,0.56873,0.326626
duckdb,5,,2.0,500 MB,2,0.34903,0.301285,0.274426,0.332072,0.245783,0.203445,0.359515,0.188818,0.168533,0.161343,0.5273,0.609153,0.354079
duckdb,5,,2.0,500 MB,3,0.347326,0.301731,0.275933,0.333327,0.247905,0.205142,0.357515,0.204992,0.167235,0.172092,0.545613,0.553442,0.322161
duckdb,5,,2.0,1 GB,1,0.326724,0.304749,0.273012,0.321066,0.228699,0.198451,0.356636,0.189214,0.163257,0.176794,0.523745,0.521549,0.284781
duckdb,5,,2.0,1 GB,2,0.33358,0.304514,0.275223,0.321305,0.229339,0.203339,0.364575,0.19099,0.171235,0.166617,0.535279,0.519494,0.297795
duckdb,5,,2.0,1 GB,3,0.346292,0.309224,0.27685,0.350272,0.235699,0.198251,0.358164,0.18785,0.164208,0.160298,0.52913,0.505727,0.280574
duckdb,5,,2.0,2 GB,1,0.301679,0.299469,0.270637,0.272346,0.242614,0.199644,0.350459,0.194342,0.162603,0.169913,0.508092,0.516698,0.288198
duckdb,5,,2.0,2 GB,2,0.300444,0.300109,0.275552,0.336625,0.235284,0.206148,0.356942,0.192819,0.17759,0.163462,0.543976,0.514123,0.291819
duckdb,5,,2.0,2 GB,3,0.302566,0.299225,0.269491,0.273872,0.238709,0.203241,0.343553,0.193366,0.205122,0.169372,0.512118,0.525104,0.282975
duckdb,5,,2.0,5 GB,1,0.331839,0.304196,0.273704,0.381916,0.244769,0.211992,0.382947,0.193818,0.163053,0.166441,0.54157,0.510187,0.272853
duckdb,5,,2.0,5 GB,2,0.310266,0.300608,0.286827,0.368813,0.261594,0.211185,0.381955,0.189105,0.176765,0.168752,0.544786,0.510667,0.288736
duckdb,5,,2.0,5 GB,3,0.299343,0.298736,0.269294,0.277431,0.237113,0.202485,0.353964,0.194627,0.166885,0.168174,0.506156,0.523679,0.300506
duckdb,5,,4.0,1 GB,1,0.177545,0.191673,0.169979,0.174084,0.160111,0.142056,0.210277,0.135205,0.111062,0.118123,0.311125,0.309531,0.186176
duckdb,5,,4.0,1 GB,2,0.178803,0.186229,0.17422,0.196794,0.157687,0.147782,0.254483,0.126209,0.114511,0.119173,0.309113,0.312244,0.178737
duckdb,5,,4.0,1 GB,3,0.177826,0.189099,0.165734,0.167686,0.164558,0.141085,0.213608,0.129114,0.111647,0.110111,0.325755,0.330568,0.205693
duckdb,5,,4.0,2 GB,1,0.170208,0.171159,0.148649,0.193226,0.131828,0.111125,0.203924,0.109894,0.113395,0.0944215,0.314318,0.304182,0.158775
duckdb,5,,4.0,2 GB,2,0.159645,0.161013,0.147286,0.143487,0.128026,0.128843,0.180944,0.102416,0.100121,0.0949434,0.27267,0.281949,0.153331
duckdb,5,,4.0,2 GB,3,0.16534,0.159069,0.145893,0.17119,0.134767,0.118447,0.195215,0.114422,0.0945556,0.104828,0.308625,0.318166,0.161205
duckdb,5,,4.0,5 GB,1,0.158658,0.16322,0.144717,0.138594,0.132173,0.116132,0.192677,0.135154,0.0953794,0.109294,0.307653,0.298747,0.159891
duckdb,5,,4.0,5 GB,2,0.177257,0.16271,0.155382,0.140399,0.142497,0.109087,0.18724,0.111452,0.0906056,0.0920736,0.308243,0.303738,0.165657
duckdb,5,,4.0,5 GB,3,0.159994,0.164031,0.14408,0.147455,0.127415,0.108891,0.185646,0.117587,0.0909575,0.102077,0.274608,0.278731,0.145338
