records,journal_mode,cache_size,trial,throughput
10000,DELETE,100 MB,1,213.233
10000,DELETE,100 MB,2,215.3
10000,DELETE,100 MB,3,213.1
10000,DELETE,200 MB,1,209.067
10000,DELETE,200 MB,2,214.617
10000,DELETE,200 MB,3,204.6
10000,DELETE,500 MB,1,214.667
10000,DELETE,500 MB,2,201.717
10000,DELETE,500 MB,3,187.817
10000,DELETE,1 GB,1,207.783
10000,DELETE,1 GB,2,173.3
10000,DELETE,1 GB,3,215.333
10000,DELETE,2 GB,1,205.9
10000,DELETE,2 GB,2,172.017
10000,DELETE,2 GB,3,206.867
10000,DELETE,5 GB,1,192.317
10000,DELETE,5 GB,2,207.933
10000,DELETE,5 GB,3,185.6
10000,TRUNCATE,100 MB,1,193.233
10000,TRUNCATE,100 MB,2,178.583
10000,TRUNCATE,100 MB,3,184.533
10000,TRUNCATE,200 MB,1,184.167
10000,TRUNCATE,200 MB,2,155.533
10000,TRUNCATE,200 MB,3,194.967
10000,TRUNCATE,500 MB,1,186.183
10000,TRUNCATE,500 MB,2,184.65
10000,TRUNCATE,500 MB,3,178.633
10000,TRUNCATE,1 GB,1,186.517
10000,TRUNCATE,1 GB,2,183.217
10000,TRUNCATE,1 GB,3,178.183
10000,TRUNCATE,2 GB,1,182.75
10000,TRUNCATE,2 GB,2,183.217
10000,TRUNCATE,2 GB,3,170.967
10000,TRUNCATE,5 GB,1,177.883
10000,TRUNCATE,5 GB,2,175.05
10000,TRUNCATE,5 GB,3,197.117
10000,WAL,100 MB,1,5677.3
10000,WAL,100 MB,2,6347.38
10000,WAL,100 MB,3,5425.33
10000,WAL,200 MB,1,6218.22
10000,WAL,200 MB,2,5173.52
10000,WAL,200 MB,3,5548.85
10000,WAL,500 MB,1,5366.68
10000,WAL,500 MB,2,5349.95
10000,WAL,500 MB,3,5292.62
10000,WAL,1 GB,1,5291.55
10000,WAL,1 GB,2,6514.9
10000,WAL,1 GB,3,5307.33
10000,WAL,2 GB,1,5315.05
10000,WAL,2 GB,2,5353.72
10000,WAL,2 GB,3,5284.48
10000,WAL,5 GB,1,5322.55
10000,WAL,5 GB,2,5305.72
10000,WAL,5 GB,3,5396.02
100000,DELETE,100 MB,1,207.233
100000,DELETE,100 MB,2,186.117
100000,DELETE,100 MB,3,162.4
100000,DELETE,200 MB,1,195.15
100000,DELETE,200 MB,2,185.1
100000,DELETE,200 MB,3,169.633
100000,DELETE,500 MB,1,206.983
100000,DELETE,500 MB,2,181.883
100000,DELETE,500 MB,3,183.367
100000,DELETE,1 GB,1,196.483
100000,DELETE,1 GB,2,180.833
100000,DELETE,1 GB,3,155.667
100000,DELETE,2 GB,1,191.083
100000,DELETE,2 GB,2,200.15
100000,DELETE,2 GB,3,168.9
100000,DELETE,5 GB,1,172.733
100000,DELETE,5 GB,2,198.25
100000,DELETE,5 GB,3,191.717
100000,TRUNCATE,100 MB,1,140.35
100000,TRUNCATE,100 MB,2,154.267
100000,TRUNCATE,100 MB,3,145.3
100000,TRUNCATE,200 MB,1,168.35
100000,TRUNCATE,200 MB,2,139.033
100000,TRUNCATE,200 MB,3,171.567
100000,TRUNCATE,500 MB,1,149.533
100000,TRUNCATE,500 MB,2,160.15
100000,TRUNCATE,500 MB,3,182.067
100000,TRUNCATE,1 GB,1,133.667
100000,TRUNCATE,1 GB,2,149.05
100000,TRUNCATE,1 GB,3,165.9
100000,TRUNCATE,2 GB,1,166.583
100000,TRUNCATE,2 GB,2,162.8
100000,TRUNCATE,2 GB,3,133.483
100000,TRUNCATE,5 GB,1,160.533
100000,TRUNCATE,5 GB,2,180.1
100000,TRUNCATE,5 GB,3,149.367
100000,WAL,100 MB,1,3532.42
100000,WAL,100 MB,2,4193.17
100000,WAL,100 MB,3,3386.87
100000,WAL,200 MB,1,4193.5
100000,WAL,200 MB,2,3458.93
100000,WAL,200 MB,3,3519.28
100000,WAL,500 MB,1,3389.38
100000,WAL,500 MB,2,3532.75
100000,WAL,500 MB,3,3651.4
100000,WAL,1 GB,1,3499.28
100000,WAL,1 GB,2,3605.07
100000,WAL,1 GB,3,4164.27
100000,WAL,2 GB,1,3618.87
100000,WAL,2 GB,2,3396.92
100000,WAL,2 GB,3,3402.67
100000,WAL,5 GB,1,3582.47
100000,WAL,5 GB,2,3855.88
100000,WAL,5 GB,3,3334.45
1000000,DELETE,100 MB,1,204.983
1000000,DELETE,100 MB,2,163.117
1000000,DELETE,100 MB,3,173
1000000,DELETE,200 MB,1,191.15
1000000,DELETE,200 MB,2,180.9
1000000,DELETE,200 MB,3,152.2
1000000,DELETE,500 MB,1,179.733
1000000,DELETE,500 MB,2,178.1
1000000,DELETE,500 MB,3,171
1000000,DELETE,1 GB,1,206.283
1000000,DELETE,1 GB,2,168.15
1000000,DELETE,1 GB,3,172.8
1000000,DELETE,2 GB,1,177.267
1000000,DELETE,2 GB,2,162.683
1000000,DELETE,2 GB,3,164.917
1000000,DELETE,5 GB,1,189.95
1000000,DELETE,5 GB,2,167.117
1000000,DELETE,5 GB,3,162.367
1000000,TRUNCATE,100 MB,1,139.35
1000000,TRUNCATE,100 MB,2,165.283
1000000,TRUNCATE,100 MB,3,136.667
1000000,TRUNCATE,200 MB,1,144.7
1000000,TRUNCATE,200 MB,2,148.967
1000000,TRUNCATE,200 MB,3,155.9
1000000,TRUNCATE,500 MB,1,131.3
1000000,TRUNCATE,500 MB,2,148.667
1000000,TRUNCATE,500 MB,3,163.9
1000000,TRUNCATE,1 GB,1,129.633
1000000,TRUNCATE,1 GB,2,181.233
1000000,TRUNCATE,1 GB,3,144.333
1000000,TRUNCATE,2 GB,1,144.583
1000000,TRUNCATE,2 GB,2,169.483
1000000,TRUNCATE,2 GB,3,137.717
1000000,TRUNCATE,5 GB,1,164.533
1000000,TRUNCATE,5 GB,2,136.35
1000000,TRUNCATE,5 GB,3,158.25
1000000,WAL,100 MB,1,2296.77
1000000,WAL,100 MB,2,2357.72
1000000,WAL,100 MB,3,2832.38
1000000,WAL,200 MB,1,2872.72
1000000,WAL,200 MB,2,2156.58
1000000,WAL,200 MB,3,2789.45
1000000,WAL,500 MB,1,2536.75
1000000,WAL,500 MB,2,1811
1000000,WAL,500 MB,3,2426.42
1000000,WAL,1 GB,1,2105.7
1000000,WAL,1 GB,2,2863.67
1000000,WAL,1 GB,3,2036.35
1000000,WAL,2 GB,1,2236.2
1000000,WAL,2 GB,2,2740.4
1000000,WAL,2 GB,3,1920.67
1000000,WAL,5 GB,1,2369.07
1000000,WAL,5 GB,2,2060.5
1000000,WAL,5 GB,3,2165.17
